ts	script	domain	summary
2026-07-14T16:50:00Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-14T21:05:29Z	orchestrator	all	observation only | Delphi is not advancing: leakers.tsv rows 2-5 contain four candidate seeds with zero calls, while signals.tsv and positions.tsv contain headers only. The only recorded run is results.tsv:2, reporting
2026-07-14T22:00:00Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-14T22:04:49Z	orchestrator	all	observation only | At 2026-07-14T22:04:19Z, Delphi is still stuck before qualification: leakers.tsv rows 2-5 contain four candidate seeds with zero calls, while signals.tsv, positions.tsv, and explorer-history.tsv conta
2026-07-14T22:07:05Z	explorer	ai-releases	mode=qualify; proposed 0 candidates; apples_jimmy/-: provider retry — EXA_API_KEY is unavailable; btibor91/-: provider retry — EXA_API_KEY is unavailable; flowersslop/-: provider retry — EXA_API_KEY is unavailable; testingcatalog/-: provider retry — EXA_API_KEY is unavailable
2026-07-14T22:10:01Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-14T22:17:00Z	resolve	ai-releases	closed 0 positions (pnl +0.00); scored 0 signals; promotions: none; equity 1000.00 (lifetime pnl +0.00)
2026-07-14T22:20:00Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-14T22:30:00Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-14T22:40:01Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-14T22:50:00Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-14T23:00:01Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-14T23:04:42Z	orchestrator	all	observation only | Delphi remains before qualification: leakers.tsv rows 2–5 contain four candidate seeds, all with n_calls=0. explorer-history.tsv rows 2–5 all report retryable_error because EXA_API_KEY is unavailable,
2026-07-14T23:10:00Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-14T23:20:01Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-14T23:30:00Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-14T23:40:01Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-14T23:50:00Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-15T00:00:01Z	heartbeat	ai-releases	roster empty (no verified/probation leakers) — run explorer.py
2026-07-15T00:05:33Z	orchestrator	all	observation only | Delphi remains blocked before qualification: leakers.tsv:2-5 contains four candidate seeds with n_calls=0, while signals.tsv, positions.tsv, and resolved.tsv contain headers only. explorer-history.tsv
2026-07-15T01:05:09Z	orchestrator	all	observation only | Delphi remains blocked before qualification: leakers.tsv:2-5 are all candidates with n_calls=0, while explorer-history.tsv:2-5 are retryable_error because EXA_API_KEY is unavailable. signals.tsv, posi
2026-07-15T01:07:04Z	explorer	ai-releases	mode=qualify; proposed 0 candidates; apples_jimmy/-: provider retry — EXA_API_KEY is unavailable; btibor91/-: provider retry — EXA_API_KEY is unavailable; flowersslop/-: provider retry — EXA_API_KEY is unavailable; testingcatalog/-: provider retry — EXA_API_KEY is unavailable
2026-07-15T02:05:24Z	orchestrator	all	observation only | Delphi remains blocked before historical qualification: leakers.tsv rows 2–5 are candidates with n_calls=0. explorer-history.tsv rows 2–5 report retryable_error because EXA_API_KEY is unavailable. sig
2026-07-15T03:04:10Z	orchestrator	all	observation only | Delphi remains blocked before historical qualification: all four seeded leakers are candidates with n_calls=0 in domains/ai-releases/leakers.tsv:2-5. All explorer history rows remain retryable_error b
2026-07-15T04:04:16Z	orchestrator	all	observation only | Delphi remains blocked before historical qualification: all four seeded leakers are still candidates with n_calls=0 in domains/ai-releases/leakers.tsv:2-5. Every explorer history row is retryable_erro
2026-07-15T04:07:04Z	explorer	ai-releases	mode=qualify; proposed 0 candidates; apples_jimmy/-: provider retry — EXA_API_KEY is unavailable; btibor91/-: provider retry — EXA_API_KEY is unavailable; flowersslop/-: provider retry — EXA_API_KEY is unavailable; testingcatalog/-: provider retry — EXA_API_KEY is unavailable
2026-07-15T04:17:00Z	resolve	ai-releases	closed 0 positions (pnl +0.00); scored 0 signals; promotions: none; equity 1000.00 (lifetime pnl +0.00)
2026-07-15T05:04:17Z	orchestrator	all	observation only | Delphi remains blocked before qualification: all four seeded leakers are candidates with n_calls=0 (domains/ai-releases/leakers.tsv:2-5), and all four explorer-history rows are retryable_error because
2026-07-15T06:04:50Z	orchestrator	all	observation only | Delphi is still blocked before qualification: all four seeded leakers remain candidates with n_calls=0 (domains/ai-releases/leakers.tsv:2-5). Every explorer-history row is retryable_error because EXA_
